,,,Gecode,Gurobi,Gecode,Gurobi
,,,Initial,Initial,Preprocessing,Preprocessing
Month,House,Result,,,,
8,8,time,130.0,370.0,100.0,220.0
8,9,time,90.0,230.0,80.0,180.0
8,10,time,140.0,230.0,120.0,190.0
8,11,time,100.0,250.0,90.0,200.0
8,12,time,110.0,200.0,110.0,140.0
8,13,time,290.0,240.0,270.0,170.0
8,14,time,90.0,170.0,70.0,110.0
8,15,time,140.0,210.0,120.0,150.0
8,16,time,150.0,230.0,130.0,170.0
8,17,time,90.0,200.0,80.0,160.0
8,18,time,90.0,210.0,80.0,170.0
8,19,time,140.0,190.0,120.0,130.0
8,20,time,100.0,230.0,90.0,170.0
8,21,time,100.0,190.0,80.0,130.0
8,22,time,160.0,240.0,150.0,160.0
8,23,time,190.0,170.0,200.0,130.0
8,24,time,130.0,180.0,140.0,120.0
8,25,time,120.0,220.0,100.0,170.0
8,26,time,80.0,320.0,70.0,170.0
8,27,time,160.0,230.0,140.0,160.0
8,28,time,130.0,270.0,120.0,190.0
8,29,time,150.0,230.0,140.0,170.0
8,30,time,49.999,220.0,49.999,170.0
8,31,time,320.0,460.0,310.0,170.0
8,32,time,210.0,260.0,200.0,190.0
8,33,time,120.0,230.0,100.0,150.0
8,34,time,80.0,210.0,70.0,190.0
8,35,time,90.0,170.0,90.0,130.0
8,36,time,80.0,180.0,70.0,120.0
8,37,time,70.0,300.0,60.0,150.0
8,38,time,80.0,180.0,60.0,130.0
8,39,time,600.0,240.0,590.0,160.0
8,40,time,90.0,200.0,70.0,160.0
8,41,time,140.0,180.0,90.0,140.0
8,42,time,110.0,190.0,90.0,140.0
8,43,time,260.0,180.0,140.0,150.0
8,44,time,100.0,220.0,90.0,140.0
8,45,time,120.0,200.0,100.0,150.0
8,46,time,120.0,240.0,110.0,190.0
8,47,time,110.0,230.0,90.0,180.0
8,48,time,280.0,230.0,420.0,170.0
8,49,time,120.0,370.0,70.0,140.0
8,50,time,150.0,220.0,150.0,190.0
8,51,time,100.0,300.0,980.0,170.0
8,52,time,90.0,190.0,60.0,130.0
8,53,time,90.0,220.0,90.0,160.0
8,54,time,120.0,240.0,90.0,180.0
8,55,time,140.0,220.0,130.0,160.0
8,56,time,130.0,410.0,130.0,230.0
