Month,House,Variable choices,Constraint variables,Result,OGSA,Gecode,Preferred,Ratio,OGSA,Optimised,Preferred,
5,13,anti_first_fail,indomain_min,obj,508470,510570,1669220,0.99588695,4535,4435,3200,1.022547914
10,54,anti_first_fail,indomain_min,obj,606760,609240,1037210,0.995929355,3720,3630,2400,1.024793388
2,13,anti_first_fail,indomain_min,obj,668340,671040,1173700,0.995976395,4535,4435,3200,1.022547914
10,29,anti_first_fail,indomain_min,obj,685480,688224,1092156,0.996012926,3256,3200,1500,1.0175
5,85,anti_first_fail,indomain_min,obj,302602,303802,647094,0.996050059,2611,2311,1200,1.129813933
4,87,anti_first_fail,indomain_min,obj,832840,836140,1013195,0.996053293,4735,3435,2400,1.37845706
10,52,anti_first_fail,indomain_min,obj,1553600,1559600,2368400,0.99615286,6500,4100,2400,1.585365854
4,60,anti_first_fail,indomain_min,obj,926080,929635,1079920,0.996175919,5685,5120,5120,1.110351563
9,73,anti_first_fail,indomain_min,obj,130757,131252,200777,0.996228629,589,574,350,1.026132404
9,89,anti_first_fail,indomain_min,obj,1719840,1726240,2185940,0.99629252,6250,6200,6200,1.008064516
11,37,anti_first_fail,indomain_min,obj,448920,450570,664810,0.996337972,3095,2645,2400,1.170132325
3,75,anti_first_fail,indomain_min,obj,3611400,3624500,5377050,0.996385708,14150,8250,6000,1.715151515
6,99,anti_first_fail,indomain_min,obj,748225,750900,1702070,0.996437608,8755,7400,5000,1.183108108
12,75,anti_first_fail,indomain_min,obj,3675850,3688950,8391950,0.996448854,14150,8250,6000,1.715151515
4,71,anti_first_fail,indomain_min,obj,336858,338058,396322,0.996450313,2912,2312,2300,1.259515571
4,58,anti_first_fail,indomain_min,obj,850980,854004,1174474,0.996459033,5827,4575,2400,1.273661202
10,97,anti_first_fail,indomain_min,obj,1279700,1284200,2017000,0.996495873,5150,3350,2100,1.537313433
5,37,anti_first_fail,indomain_min,obj,258935,259835,538080,0.996536263,3195,3095,2400,1.032310178
11,78,anti_first_fail,indomain_min,obj,2772500,2782100,4378400,0.996549369,10200,8700,6000,1.172413793
6,24,anti_first_fail,indomain_min,obj,3507948,3520048,7412360,0.996562547,9862,8762,6000,1.125542114
2,24,anti_first_fail,indomain_min,obj,3827848,3841048,5882464,0.996563438,9862,8762,6000,1.125542114
